student_staff_ratio,num_students,total_score,income
15.2,20174,47,32.3
11.8,7867,47,27
16.4,25295,46.9,36
17.2,9454,46.8,25.1
12.6,5495,46.7,33.7
10.2,17916,46.6,36.4
39.3,33062,46.6,30.6
15.8,12938,46.6,44.4
11.9,31891,46.2,40
5.5,6753,46.2,50
18.8,17755,46.1,35.4
18.9,20580,46,45
16.6,18529,46,31.3
13,17713,45.9,33.1
16.3,23280,45.9,63.2
4.6,7326,45.8,49.1
21.4,50657,45.7,43.8
14.8,12050,45.7,31.6
9.2,24313,45.2,38.6
27.6,37917,45.1,61.8
16.2,25028,45,44.4
14.8,27756,45,50
42,28856,45,30.8
5.7,15286,44.8,50
22.1,20488,44.6,87.5
18.9,29787,44.6,76.6
25.9,38309,44.6,53.1
15.3,11628,44.5,55.3
21.5,17581,44.2,26.8
5,9990,44.1,95.7
14.6,81402,44.1,33.3
15.9,19262,43.8,98
9.3,31861,43.6,42.4
13.6,18815,43.6,37.1
17.4,29991,43.4,49.2
26.3,36733,43.2,36.9
18.3,10901,43.1,37.6
14.6,12062,43,100
38.9,28327,43,31
31.2,26467,42.9,81.8
20.7,20851,42.9,58.7
11.1,11623,42.8,42.1
7.1,10015,42.6,50.1
59.1,10930,42.5,49.9
17.4,13216,42.4,24.2
24.6,25294,41.6,35.6
18.9,15626,41.5,50
13.4,14541,41.5,34.4
12,6631,41.4,76.8
12.3,30538,50,37
13.1,23347,50,35.5
18.2,5287,50,99.4
7.9,15529,50,33.1
13.5,10221,50,46.8
15.1,18539,50,31.1
19.4,13855,50,33.6
8.4,11381,50,50
11.2,9187,50,69.8
11.9,16667,50,26.3
19,25668,50,40.9
30.1,20771,50,50.7
12.2,47491,50,29.5
15.7,36108,50,32.9
19.8,12695,50,28.3
19.9,33119,50,27.7
16.9,18209,50,32.8
20.3,18600,50,27.8
16.3,29336,50,27.3
17.8,46208,50,32.1
24.2,30726,50,32.7
20.7,27387,50,41.9
38.4,26576,50,27.9
26.1,23819,50,52.8
29.8,25036,50,50
11.6,8605,50,79.3
19,26769,50,50
8.3,7086,50,24.2
14.4,15064,50,72.5
10.8,20713,50,29.9
12.2,32175,50,40.5
20,27930,50,42.3
16.6,12646,50,100
28.3,26640,50,37.6
18.5,15387,50,92.9
9.9,9303,50,27.6
22.9,85532,50,32.2
16.5,28341,50,39.5
24.3,58618,50,35
72.5,33370,50,35.6
14.1,29885,50,26.5
18.3,62577,50,31.1
25.8,18135,50,31.3
19.5,9567,50,29
67.8,21428,50,28.6
17.6,12613,50,30
25.9,22064,50,72.8
29.1,19646,50,73.4
6.7,18925,50,75.1
13.3,29743,50,42.9
19.6,9336,50,42.1
13.9,17381,50,49.7
17.9,17940,50,41.9
46.3,38675,50,59.7
23,21849,50,99.6
22.4,7576,50,36
37.4,35487,50,31.9
18.8,12830,50,38.9
26.8,20584,50,25.5
23.8,24444,50,33.6
12.7,22210,50,67.9
22.8,16306,50,31.1
18.6,23321,50,100
12.6,15930,50,32
25.4,16489,50,40.4
21.1,17142,50,25.8
18.6,30850,50,24.2
10.7,23065,50,50
19.2,9252,50,35.5
13,28296,50,32.5
8.2,18162,50,38.7
11,10441,50,25.3
16,34550,50,99.1
7.7,30822,50,80
22.2,25779,50,43.2
18.4,36731,50,24.9
35.8,33391,50,62.5
15.3,27095,50,43.2
16.6,51351,50,42.1
53.6,20300,50,45.1
3.3,2872,50,40.8
12.2,10398,50,32.8
30.3,12346,50,56.2
26.9,14650,50,33.2
28.3,21643,50,48.9
25.9,13960,50,75.4
46.1,39838,50,35.1
21.9,23508,50,64.8
26.9,27520,50,25.3
43.2,16841,50,51
39.4,48007,50,41.7
15.9,17422,50,36.4
24.2,16099,50,61.9
23.3,127431,50,34.5
16,17503,50,28.5
23.3,15799,50,29.5
25,11506,50,34.7
25.4,5570,50,31.3
13,51438,50,24.5
17,26622,50,25.1
14.9,8327,50,24.2
11.5,42835,50,25.8
15.7,8397,50,28.1
11.9,33751,50,40
19,23122,50,24.6
11.3,6300,50,38.6
7.7,17866,50,31.8
17.4,7446,50,42.9
25.9,24121,50,25.8
